dn1n2,dn1p2,dre1n2,dre1rh2,dre1lh2,dle1n2,dle1rh2,dle1lh2,drk1n2,drk1rh2,drk1lh2,drk1rk2,drk1lk2,dlk1n2,dlk1rh2,dlk1lh2,dlk1rk2,dlk1lk2,dra1la2,dra1ra2,dra1rh2,dra1lh2,dra1rk2,dra1lk2,dla1la2,dla1ra2,dla1rh2,dla1lh2,dla1rk2,dla1lk2,drw1n2,drw1ne2,drw1rs2,drw1ls2,drw1p2,drw1rw2,drw1lw2,drw1re2,drw1le2,drw1rh2,drw1lh2,dlw1n2,dlw1ne2,dlw1rs2,dlw1ls2,dlw1p2,dlw1rw2,dlw1lw2,dlw1re2,dlw1le2,dlw1rh2,dlw1lh2,dn2p1,dre2n1,dre2rh1,dre2lh1,dle2n1,dle2rh1,dle2lh1,drk2n1,drk2rh1,drk2lh1,drk2lk1,dlk2n1,dlk2rh1,dlk2lh1,dlk2rk1,dra2rh1,dra2lh1,dra2rk1,dra2lk1,dla2rh1,dla2lh1,dla2rk1,dla2lk1,drw2n1,drw2ne1,drw2rs1,drw2ls1,drw2p1,drw2re1,drw2le1,drw2rh1,drw2lh1,dlw2n1,dlw2ne1,dlw2rs1,dlw2ls1,dlw2p1,dlw2re1,dlw2le1,dlw2rh1,dlw2lh1,label
0,222.91,0,268.07,298.74,0,273.07,303.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.03,401.11,291.94,337.12,391.75,354.68,477.21,336.54,275.07,305.04,0,272.26,321.28,166.01,236.6,309.51,261.02,412.38,235.78,134.13,188.1,0,404.68,567.31,512.18,222.04,455.39,384.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.17,339.25,292.85,398.83,335.87,386.87,390.35,497.58,433.66,248.68,295.68,241.03,362.49,291.8,349.28,353.14,468.96,400.5,fight
381.8,404.14,271.21,436.59,284.91,275.77,439.44,289.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.15,365.14,295.42,395.38,334.51,379.86,0,485.24,355.41,459.78,319.31,269.39,334.0,255.93,366.82,300.21,350.04,0,462.27,323.34,435.46,283.18,209.88,535.62,562.2,573.78,421.6,454.9,469.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.41,309.23,373.13,261.89,306.6,351.44,354.97,474.25,487.91,0,0,0,0,0,0,0,0,0,fight
383.78,377.02,246.04,210.64,414.4,188.09,138.6,382.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.81,268.6,349.86,221.2,242.42,388.01,253.87,298.45,301.24,218.51,418.46,188.09,208.83,306.37,142.8,173.88,349.31,189.51,246.04,249.42,138.6,382.84,356.26,415.27,417.0,402.34,417.28,419.0,404.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.66,483.66,417.16,511.8,462.12,383.64,349.31,485.15,472.6,384.48,384.48,296.51,419.33,357.01,247.13,189.51,386.35,370.47,fight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
305.28,158.58,314.25,409.84,185.7,318.7,413.26,193.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.31,400.25,325.3,326.22,325.73,364.51,0,366.82,348.74,493.32,331.48,314.8,291.81,175.41,177.12,176.21,240.45,0,243.95,215.8,410.26,186.63,343.53,231.54,463.12,477.08,201.66,448.93,463.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.85,213.49,285.04,269.09,277.0,239.74,245.54,461.29,475.3,0,0,0,0,0,0,0,0,0,fight
230.49,176.78,199.15,447.6,153.5,444.1,598.25,425.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.67,402.33,328.67,329.28,328.95,414.85,0,400.6,411.2,539.23,337.62,228.22,289.61,173.28,174.43,173.81,306.76,0,287.2,301.81,461.27,189.69,258.48,289.01,424.68,483.24,303.53,434.69,492.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.45,281.78,334.72,325.15,329.89,285.79,489.12,438.14,495.12,0,0,0,0,0,0,0,0,0,fight
0,274.44,0,218.05,293.49,0,167.72,258.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.01,376.65,435.72,403.86,0,0,400.22,535.21,341.79,394.22,0,0,0,0,0,0,0,0,0,0,0,0,269.05,403.55,471.53,445.72,537.71,590.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
316.48,230.99,327.0,211.15,285.76,313.68,189.87,270.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.43,426.02,460.43,356.0,384.78,0,0,552.11,407.84,364.02,411.81,342.64,322.55,366.81,222.0,265.71,0,0,476.83,298.14,234.65,303.53,280.04,458.39,575.3,524.81,267.66,438.73,370.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
302.03,326.98,266.94,120.77,233.81,321.66,216.32,294.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.66,282.39,334.32,328.2,331.26,368.98,0,461.96,459.15,193.31,278.3,0,0,0,0,0,0,0,0,0,0,0,276.57,458.9,620.18,560.56,456.07,618.09,558.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.14,344.78,382.03,332.05,344.38,336.69,381.53,554.4,486.79,0,0,0,0,0,0,0,0,0,fight
0,258.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.31,335.05,379.49,350.54,0,0,0,0,0,0,0,333.77,236.91,296.45,258.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
393.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
411.89,468.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,136.4,0,165.68,0,0,181.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,81.61,42.2,61.81,0,0,257.19,171.29,160.31,0,0,284.49,419.06,380.8,210.06,372.56,328.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,448.45,0,215.67,315.57,0,243.32,335.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307.6,284.75,332.36,307.6,0,0,296.58,0,266.58,352.33,0,0,0,0,0,0,0,0,0,0,0,0,440.96,374.82,420.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,0,0,215.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.04,0,0,0,0,293.49,278.0,321.07,298.75,0,0,0,0,257.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,399.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
465.56,449.81,250.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fight
